cntry,region,four_region,rw_order,paed_age_cutoff,inc_time_tmc,type,elpd,crps,mae,rmse,ppd_0.500,ppd_0.800,ppd_0.950,spec
BDI,ESA,Eastern,2,10,FALSE,TMC coverage,83.11922715271238,31.11489932265097,0.07822430326214289,0.11780263842174613,0.7598566308243727,0.9080047789725209,0.974910394265233,"rw_order = 2, paed_age_cutoff = 10, inc_time_tmc = FALSE"
BDI,ESA,Eastern,2,10,TRUE,MC coverage,326.2331416920728,207.72424564685363,0.3562456654448549,0.4059075788121244,0.3954599761051374,0.5603345280764636,0.6845878136200717,"rw_order = 2, paed_age_cutoff = 10, inc_time_tmc = TRUE"
BDI,ESA,Eastern,2,10,TRUE,MMC coverage,120.20966291059402,142.897382170259,0.2249143754486211,0.2572188510302743,0.3655913978494624,0.5149342891278376,0.6523297491039427,"rw_order = 2, paed_age_cutoff = 10, inc_time_tmc = TRUE"
BDI,ESA,Eastern,2,10,TRUE,TMC coverage,206.0234787814788,119.76818559818206,0.25227130482360843,0.3229631023080523,0.5961768219832736,0.7765830346475507,0.8637992831541219,"rw_order = 2, paed_age_cutoff = 10, inc_time_tmc = TRUE"
BDI,ESA,Eastern,2,Inf,FALSE,MC coverage,290.5862298365505,69.31880002724417,0.1622238606617065,0.20751721400555703,0.5913978494623656,0.8339307048984468,0.965352449223417,"rw_order = 2, paed_age_cutoff = Inf, inc_time_tmc = FALSE"
BDI,ESA,Eastern,2,Inf,FALSE,MMC coverage,207.2462194430582,61.68218695299281,0.1494577492216993,0.1950739600859238,0.6284348864994026,0.8614097968936678,0.96415770609319,"rw_order = 2, paed_age_cutoff = Inf, inc_time_tmc = FALSE"
BDI,ESA,Eastern,2,Inf,FALSE,TMC coverage,83.34001039349228,31.23435337416491,0.07846800617107226,0.11820406764601732,0.7610513739545998,0.9080047789725209,0.972520908004779,"rw_order = 2, paed_age_cutoff = Inf, inc_time_tmc = FALSE"
BDI,ESA,Eastern,2,Inf,TRUE,MC coverage,332.5512909925455,211.2379025091477,0.3580823926200086,0.4061106711276639,0.3715651135005974,0.5412186379928315,0.6786140979689367,"rw_order = 2, paed_age_cutoff = Inf, inc_time_tmc = TRUE"
BDI,ESA,Eastern,2,Inf,TRUE,MMC coverage,116.01135709984275,143.99297137315753,0.22462334206698695,0.2564006539487581,0.35842293906810035,0.5089605734767025,0.6463560334528077,"rw_order = 2, paed_age_cutoff = Inf, inc_time_tmc = TRUE"
BDI,ESA,Eastern,2,Inf,TRUE,TMC coverage,216.53993389270275,129.70644413319758,0.2617490800715753,0.32824859551048835,0.5400238948626045,0.7431302270011948,0.8494623655913979,"rw_order = 2, paed_age_cutoff = Inf, inc_time_tmc = TRUE"
BEN,WCA,Western,0,10,FALSE,MC coverage,1359.4256163402376,58.23153474786113,0.06558163939195566,0.1027995065574228,0.8322894919972165,0.8921363952679193,0.9526791927627,"rw_order = 0, paed_age_cutoff = 10, inc_time_tmc = FALSE"
BEN,WCA,Western,0,10,FALSE,MMC coverage,205.0227785845794,113.35665311239528,0.15148863915253435,0.2132170939694093,0.7077244258872651,0.8698677800974252,0.9478079331941544,"rw_order = 0, paed_age_cutoff = 10, inc_time_tmc = FALSE"
BEN,WCA,Western,0,10,FALSE,TMC coverage,1154.4028377556583,142.4962115280708,0.18334344835020597,0.24524424584491555,0.6492693110647182,0.8399443284620738,0.9380654140570632,"rw_order = 0, paed_age_cutoff = 10, inc_time_tmc = FALSE"
BEN,WCA,Western,0,10,TRUE,MC coverage,1051.3832135022728,342.52779150367667,0.3040164174224086,0.35203477882094686,0.4926931106471816,0.5685455810716771,0.673625608907446,"rw_order = 0, paed_age_cutoff = 10, inc_time_tmc = TRUE"
BEN,WCA,Western,0,10,TRUE,MMC coverage,154.96493402057544,141.36973176424215,0.16007886347880282,0.2156821566862334,0.6388308977035491,0.7794015309672929,0.8865692414752957,"rw_order = 0, paed_age_cutoff = 10, inc_time_tmc = TRUE"
BEN,WCA,Western,0,10,TRUE,TMC coverage,896.4182794816974,359.0464894090464,0.3449400276786706,0.4001878575777455,0.3945720250521921,0.5525400139178844,0.7007654836464857,"rw_order = 0, paed_age_cutoff = 10, inc_time_tmc = TRUE"
BEN,WCA,Western,0,Inf,FALSE,MC coverage,1359.2519066265145,58.11072832506295,0.06574016554625232,0.1035361212069868,0.8295059151009047,0.8907446068197634,0.9512874043145442,"rw_order = 0, paed_age_cutoff = Inf, inc_time_tmc = FALSE"
BEN,WCA,Western,0,Inf,FALSE,MMC coverage,206.2266849857896,111.4892033219513,0.15139565659414508,0.21426337805552015,0.7098121085594989,0.8816979819067502,0.9526791927627,"rw_order = 0, paed_age_cutoff = Inf, inc_time_tmc = FALSE"
BEN,WCA,Western,0,Inf,FALSE,TMC coverage,1153.0252216407248,141.00214487300346,0.18339840485460995,0.24623083286130765,0.6638830897703549,0.8517745302713987,0.9394572025052192,"rw_order = 0, paed_age_cutoff = Inf, inc_time_tmc = FALSE"
BEN,WCA,Western,0,Inf,TRUE,MC coverage,1431.6073278678898,106.3723396801983,0.07581019597430946,0.07699234367420907,0.7926235212247739,0.7926235212247739,0.7926235212247739,"rw_order = 0, paed_age_cutoff = Inf, inc_time_tmc = TRUE"
BEN,WCA,Western,0,Inf,TRUE,MMC coverage,606.3256530136975,324.61027212129574,0.4267371488906164,0.5398167599278143,0.9603340292275574,0.9603340292275574,0.9603340292275574,"rw_order = 0, paed_age_cutoff = Inf, inc_time_tmc = TRUE"
BEN,WCA,Western,0,Inf,TRUE,TMC coverage,825.2816748541924,332.532367602188,0.4340363885675661,0.5389710052578252,0.9450243562978428,0.9450243562978428,0.9450243562978428,"rw_order = 0, paed_age_cutoff = Inf, inc_time_tmc = TRUE"
BEN,WCA,Western,1,10,FALSE,MC coverage,1359.4117343671296,58.11609910412812,0.06552747890924723,0.1028645715039785,0.8315935977731385,0.8907446068197634,0.9519832985386222,"rw_order = 1, paed_age_cutoff = 10, inc_time_tmc = FALSE"
BEN,WCA,Western,1,10,FALSE,MMC coverage,205.32972661359548,113.13281820417808,0.15134788795179324,0.21316442355635828,0.7077244258872651,0.8698677800974252,0.9498956158663884,"rw_order = 1, paed_age_cutoff = 10, inc_time_tmc = FALSE"
BEN,WCA,Western,1,10,FALSE,TMC coverage,1154.082007753534,142.01152720582783,0.18294283165369368,0.24487822909282148,0.6506610995128741,0.8462073764787752,0.9331941544885176,"rw_order = 1, paed_age_cutoff = 10, inc_time_tmc = FALSE"
BEN,WCA,Western,1,10,TRUE,MC coverage,1132.1077386572815,277.4637645021732,0.25521965673700625,0.307596738817401,0.6061238691718859,0.6826722338204593,0.7606123869171886,"rw_order = 1, paed_age_cutoff = 10, inc_time_tmc = TRUE"
BEN,WCA,Western,1,10,TRUE,MMC coverage,213.1072810149971,139.90564844791757,0.18176550518879123,0.24846270802743092,0.708420320111343,0.848990953375087,0.9255393180236604,"rw_order = 1, paed_age_cutoff = 10, inc_time_tmc = TRUE"
BEN,WCA,Western,1,10,TRUE,TMC coverage,919.0004576422846,340.6548720487117,0.3397719927148532,0.3998374442040793,0.46207376478775225,0.6228253305497564,0.7341684064022269,"rw_order = 1, paed_age_cutoff = 10, inc_time_tmc = TRUE"
BEN,WCA,Western,1,Inf,FALSE,MC coverage,1359.4222674720932,58.13186985879635,0.06572029780004879,0.10347007241735168,0.8322894919972165,0.8935281837160751,0.9519832985386222,"rw_order = 1, paed_age_cutoff = Inf, inc_time_tmc = FALSE"
