cntry,region,four_region,rw_order,paed_age_cutoff,inc_time_tmc,type,elpd,crps,mae,rmse,ppd_0.500,ppd_0.800,ppd_0.950
NAM,ESA,Southern,1,10,TRUE,MMC coverage,151.7051633431429,55.134867692505615,0.126898461277945,0.17395813328607274,0.6684723726977249,0.8916576381365113,0.971830985915493
NAM,ESA,Southern,1,10,TRUE,TMC coverage,146.58715199434178,55.10695016498068,0.11636500951944076,0.16005969884689702,0.6912242686890574,0.8829902491874323,0.9653304442036836
NAM,ESA,Southern,1,Inf,FALSE,MC coverage,297.44782593619436,91.39947671752304,0.1851912938851181,0.23250521789639828,0.5308775731310943,0.7941495124593716,0.9284940411700976
NAM,ESA,Southern,1,Inf,FALSE,MMC coverage,150.06989217218887,55.14000053437178,0.12655953081220808,0.1735608430340314,0.6728060671722643,0.9014084507042254,0.9739978331527628
NAM,ESA,Southern,1,Inf,FALSE,TMC coverage,147.37793376400552,55.544178321146134,0.11665119863169458,0.16036033577409253,0.6879739978331527,0.8797399783315276,0.9631635969664138
NAM,ESA,Southern,1,Inf,TRUE,MC coverage,298.42616698058663,91.8878903147616,0.18579307584787624,0.23309208632656248,0.5178764897074756,0.7843986998916577,0.9306608884073672
NAM,ESA,Southern,1,Inf,TRUE,MMC coverage,150.52949792579645,55.513138231669345,0.12690073974859728,0.17384039039604351,0.6641386782231853,0.894907908992416,0.971830985915493
NAM,ESA,Southern,1,Inf,TRUE,TMC coverage,147.89666905479018,55.66373417806521,0.1168716447874589,0.1605297417957873,0.6868905742145178,0.8797399783315276,0.9588299024918744
NAM,ESA,Southern,2,10,FALSE,MC coverage,301.239657765264,92.76535263179076,0.1867184504256826,0.23403821732306873,0.5124593716143012,0.7757313109425785,0.9252437703141928
NAM,ESA,Southern,2,10,FALSE,MMC coverage,154.92234102673143,56.42694743677415,0.12834079114861924,0.1754033225571364,0.6630552546045504,0.8829902491874323,0.9685807150595884
NAM,ESA,Southern,2,10,FALSE,TMC coverage,146.31731673853253,55.04781391039086,0.11620229824972556,0.1598432718742535,0.6901408450704225,0.8808234019501625,0.9653304442036836
NAM,ESA,Southern,2,10,TRUE,MC coverage,300.10454679151167,92.27445407584592,0.1863078104931045,0.2336780814929762,0.5167930660888408,0.7800650054171181,0.9252437703141928
NAM,ESA,Southern,2,10,TRUE,MMC coverage,153.41373282281924,55.78662541799522,0.1275068104732071,0.174549472831885,0.656554712892741,0.8873239436619719,0.9685807150595884
NAM,ESA,Southern,2,10,TRUE,TMC coverage,146.6908139686924,55.19484684194109,0.11656165735144916,0.16027512433388752,0.6901408450704225,0.8829902491874323,0.960996749729144
NAM,ESA,Southern,2,Inf,FALSE,MC coverage,300.9956961453293,92.84646403103616,0.18681301801006484,0.2341563392995303,0.5059588299024919,0.7703141928494042,0.9295774647887324
NAM,ESA,Southern,2,Inf,FALSE,MMC coverage,153.5137761027396,56.52954108724619,0.1282191695530232,0.17522220951112896,0.6576381365113759,0.886240520043337,0.9685807150595884
NAM,ESA,Southern,2,Inf,FALSE,TMC coverage,147.4819200425897,55.37111953490991,0.11662555412570765,0.1603434458986178,0.6901408450704225,0.8786565547128927,0.9631635969664138
NAM,ESA,Southern,2,Inf,TRUE,MC coverage,299.0123095775218,92.3965961356,0.1861418833146732,0.23341506124339992,0.5200433369447454,0.7822318526543879,0.9263271939328276
NAM,ESA,Southern,2,Inf,TRUE,MMC coverage,151.34400041370955,55.894403003594405,0.12696428987789046,0.1737962823041064,0.6695557963163596,0.886240520043337,0.9642470205850489
NAM,ESA,Southern,2,Inf,TRUE,TMC coverage,147.66830916381227,55.472386807784595,0.1165891964308259,0.1601209546894667,0.6847237269772481,0.8840736728060672,0.9631635969664138
NGA,WCA,Western,0,10,FALSE,MC coverage,927.9394253930534,103.20581705254328,0.11804939848310042,0.1251251197207223,0.6106382978723405,0.7106382978723405,0.8180851063829787
NGA,WCA,Western,0,10,FALSE,MMC coverage,322.8508083050566,112.25130528017183,0.1748238663116861,0.20602791461387163,0.33297872340425533,0.5180851063829788,0.6808510638297872
NGA,WCA,Western,0,10,FALSE,TMC coverage,605.0886170879968,131.08219716622176,0.195302364745577,0.2230486154810123,0.3,0.5031914893617021,0.6702127659574468
NGA,WCA,Western,0,10,TRUE,MC coverage,932.5691606856528,105.14932530463236,0.11756508267237564,0.12319540071523732,0.5914893617021276,0.675531914893617,0.7882978723404256
